pre_cmt,rating,class,length
ktra đc đc,5,like,10
cho_phép sơ_suất hát rõ_ràng saisĩ,5,like,34
vừa_vặn v nâu dày đỏ trắng đẹp nhức đẹp lắmKhá ổn,5,like,49
ok,5,like,2
đẹp đẹp ok giao mua,5,like,19
"Áo rất là đẹp nha, chất lượng dày dặn,",5,like,38
ki_lô ram body,5,like,14
ko quên học,5,like,11
Không chê hợp,5,like,13
Nhận gọn_gàng đẹp ôm nha mua kâng,5,like,33
Nấnbsbsndbjsjsndnakndnsjakskajshdnwjdhwjshwjdjiwjb,5,like,50
đẹp mua rẻ from chất giao hihi,5,like,30
đẹp ôm dâng lắm Rất chất_lượng xưang aaaaaaaaaaaaaaaa,5,like,53
đẹp lắm form ôm đẹp,5,like,19
nhắm mua mặc đẹp xĩu nha,5,like,24
Hàng đẹp chất_lượng ôm,5,like,22
have ôm thích rộng hơi ôm,5,like,25
8/10 về sp,5,like,10
đẹp,5,like,3
đẹp lắm sắm,5,like,11
Snajajsnksjdkskakshsnsjjbbvkamansjskakjfnnd,5,like,43
đẹp rẻ ship đóng_gói cẩn_thận ahihi,5,like,35
tốt tốt,5,like,7
dày lắm mặc lắm,5,like,15
Muốn bảnh trai như Karik như ảnh,5,like,32
tậu trắng h mua đen phối ok basic,5,like,33
đẹp giao hơi mua,5,like,16
Áo thun gân cổ giãn tôn dáng,5,like,28
tốt,5,like,3
ÁO TỆ WAA PHẢI MUA THÊM MẤY CÁI NỮA MẶC CHO ĐỠ SỢ ((=,5,like,53
đẹp tư_vấn size chuẩn,5,like,21
Áo xịn lắm luôn á,5,like,17
đẹp ôm ốm mặc to mặc xấu dám khoe 200,5,like,37
đẹp Chắc,5,like,8
đẹp dày,5,like,7
Đặt hủy Tới giao đẹp mặc xước rách không_đáng,5,like,45
Vì mình xinh đẹp nên tặng cho shop 5 sao ạ 😏💅,5,like,45
đẹp tốt ưng mua,5,like,15
"Hàng đẹp lắm. Form rất ổn, chất vải cũg dày, mặc thích lắm",5,like,58
đẹp mặc thoải_mái giao đắt_hàng,5,like,31
đẹp hơi cao_就是世界的UI丢诶斯i我iu勇冠三军我ii似的i诶诶i地ID_i丝丝is,5,like,48
đẹp lắm dày_dặn mặc from đẹp lắm phối đẹp ae mua,5,like,48
mặc perfect chuẩn không_sao chất_liệu dày thoáng mát 375 ủng_hộ tiếp,5,like,68
xịn lắm luon mua mua mặc hơi chật,5,like,33
cực đẹp mặc thu đông hợp rẻ,5,like,27
Ko uổng công mình chờ đợi,5,like,25
đẹp đẹp lắm ủng_hộ shop,5,like,23
đẹp gân nổi ôm chuẩn giao ae,5,like,28
ôm đẹp cầm may đẹp bàn,5,like,22
hài_lòng mặc đẹp ^ _ ^ ủng_hộ shop,5,like,34
sản_phẩm giao cửa_hàng gói sản_phẩm đẹp,5,like,39
đẹp mong_đợi mặc thích lắm mặc đẹp ko hẳn bó thích mua,5,like,54
Lên đơn_giao ôm mua rộng tí đẹp,5,like,31
tốt xịn sướng lắm mặc,5,like,21
mặc cổ ok bó lắm hơi k dày mua rẻ k nma đắt,4,like,43
đẹp to,4,like,6
đen luônáo đẹp,4,like,14
đẹp đẹp ổn thích hihi,4,like,21
So đầu_tư chỉn_chu ghi,4,like,22
ổn trừ shop giao vận_chuyển,4,like,27
ổn hơi thừa ngắn ưng trừ ngắn,4,like,29
Giao,4,like,4
dày mặc sợ hơi nóng giao không_thấy oke,4,like,39
đẹp mặc hơi ngứa dịch giao,4,like,26
ôm giao hàng hơi khwkdqkks,4,like,26
măcj hơi trật mua to rebslfbakgbr hơi chán,4,like,42
k cbi gói,4,like,9
Djdjdjiifjfjfjdjdfjfjfjjffjfjjfjffjfjfjjfjfjffjffffo,4,like,52
trắng vuông không_tròn chất_liệu ok xanh thất_vọng trắng Cùng khác_biệt,4,like,71
đẹp mặc trừ giao kèm ko kĩ giao,4,like,31
"Chờ lấy hàng hơi lâu ,phù hợp với giá r",4,like,39
"1m65-52kg mặc hơi kích chút,size L sẽ phù hợp với các bn 50kg",4,like,61
mặc tạm ổn giao hơi xíu crush nhìu lắm,4,like,38
đẹp giao hơi chậm bẩn không_đáng,4,like,32
ok,4,like,2
ổn,4,like,2
lựa_chọn tốt co_giãn tốt hợp_lý,4,like,31
"chất vải dày, áo form ôm ",4,like,25
hơi ôm xanh dày_dặn trắng hơi mỏng lộ,4,like,37
đẹp thấm hút,4,like,12
đẹp mặc k thoáng mát thoát,4,like,26
Vải áo rất xịn rất dày dặn mình 1m72 55kg mang sz XL vừa ôm không được rộng lắm bạn nào muốn mặc rộng thì nên nâng size lên ,4,like,124
giao ck,4,like,7
Cổ hơi không_ôm sát đẹp,4,like,23
tốt đen đừng xám không_lại,4,like,26
dày_dặn giãn thoải_mái,4,like,22
dày nóng Không thoáng_khí thấm fom ổn,4,like,37
gói trễ,4,like,7
Hgszgjkut^ hhtg,4,like,15
Giao ok đẹp hơi nóng,4,like,20
lỗi chỉ ở vai một ít,4,like,20
hơi mỏng mặc lộ,4,like,15
Hơi nhỏ,4,like,7
giao hơi,4,like,8
đẹp,4,like,3
Ok,4,like,2
Đặt trắng giao đen,4,like,18
bí đẹp trắng kj,4,like,15
giao,4,like,4
may,4,like,3
duyệt,4,like,5
giao hơi mua trắng to rộng đen,3,not_like,30
Ôm ko lắm dày ko giặt giãn mặc,3,not_like,30
Giao tương_đối ok may dở mặc đứt,3,not_like,32
dày đẹp hoàn_thiện tốt giao tạm ổn không_đồng trừ,3,not_like,49
tốt tệ nhắn kĩ shop k thèm rep Làm chán,3,not_like,39
"Áo đẹp, size XL chả khác gì size L ",3,not_like,35
tưởng cotton ấymùa mặc nóng,3,not_like,27
tốt ổn tay_áo sâu tốt không_ưng sản_phẩm chậm trắng bẩn,3,not_like,55
đẹp hơi cũ bẩn,3,not_like,14
"Sau khi nhận đc hàng hơi thất vọng, cùng size nhưng 3 cái kích cỡ khác nhau. Cắt khá ẩu nên 2 bên áo ko đều nhau, phần nách bên trái dài hơn, thừa ra trông rất bực, phải đi bóp lại.",3,not_like,181
bảo gửi đen trắng trắng,3,not_like,23
đẹp hơi thất_vọng lủng shop rút ktra kĩ giao giao,3,not_like,49
bó sát mặc,3,not_like,10
Đã mua mua chất chán,3,not_like,20
Đặt giao đen,3,not_like,12
điều_chỉnh size mặc ngắn bó,3,not_like,27
Mua lủng,3,not_like,8
Shipper rất bố đời,3,not_like,18
đc xù,3,not_like,5
giao buồn,3,not_like,9
lợt,3,not_like,3
nóng dày,3,not_like,8
Ổn,3,not_like,2
hajsjsjss,3,not_like,9
dày đừng viền cứng mặc,3,not_like,22
giao,3,not_like,4
.,3,not_like,1
sản_phẩm tạm,3,not_like,12
"Đặt 2 cái XL, shop giao 2 cái XXL",2,not_like,33
giao bù,2,not_like,7
mua đen hơi xù giặt mua mua trắng đừng mua đen,2,not_like,46
xịn may lệch bai trông xấu,2,not_like,26
mặc nóng chất ko,2,not_like,16
Giao chậm,2,not_like,9
Mọi người tránh xa cái shop này ra nhé!,1,not_like,39
Đặt mua trắng shop trắng đen Đã đen lỗi nách ngắn Mất,1,not_like,53
mua giao sai shop tốt đọc y_như sai shop cod đổi,1,not_like,48
mua,1,not_like,3
chê đẹp Giao ko nhầm_lẫn shop ngộ ghê Mua mà_còn,1,not_like,48
lừa_đảo cẩn_thận Treo Mua giao mỡ toàn,1,not_like,38
đọc mua mua trắng ok chất_liệu thoáng mát mua mỏng mua trắng sp chất_lượng,1,not_like,74
giao giao thất_vọng k mua,1,not_like,25
kêu đổi ship sai vui_tính,1,not_like,25
đen gửi trắng,1,not_like,13
thâm dơ đổi,1,not_like,11
đẹp,1,not_like,3
Đặt tệ,1,not_like,6
Wrong delivery item,1,not_like,19
.,1,not_like,1
sản_phẩm kém sản_phẩm kém phục_vụ kém Rất không_đáng giao chậm,1,not_like,62
phục_vụ kém giao chậm,1,not_like,21
phục_vụ kém giao chậm,1,not_like,21
giao chậm,1,not_like,9
"VẪN LÀ BÁT XỊN SÒ NHÀ EM, NHƯNG GIÁ LẠI RẺ NHẤT QUẢ ĐẤT NHÉ 🔥🔥🔥",5,like,63
Giao oke mua tiếp,5,like,17
nhẹ mặc mát lắm Giao rẻ,5,like,23
khoe xinh ghé liên_hệ,5,like,21
Hàng đẹp giao cố boom,5,like,21
đẹp rẻ lắm mua mặc xinh ủng_hộ shop,5,like,35
Quá tuỵt đẹp mua_bán tốt,5,like,24
Không mặc không đẹp ghé mua Giao,5,like,32
Hình ảnh video mang tính chất lấy xu.,5,like,37
mỏng mặc mặc hơi lộ So hợp_lý,5,like,29
Chất lượng đúng với miêu tả.,5,like,28
tốt ok mua nua đẳ trở,5,like,21
đẹp rẻ mua thích lắm mua mẫu_mã in đúc rẻ,5,like,41
Mua mặc thích lắm mát kiu mặc bộ_đội mặc,5,like,40
Áo chất lượng ạ 💋,5,like,17
Giao đẹp,5,like,8
Rất tốt,5,like,7
quen mua mua thừa tốt,5,like,21
mua mua Được mát mềm may đẹp Đáng,5,like,33
Giao đóng_gói sản_phẩm,5,like,22
đóng_gói giao,5,like,13
Chất lượng tuyệt vời qwertyuiopasdfghjkllzxcvbmalfnwmx,5,like,54
Nên mua hợp_lý,5,like,14
tốt mềm mặc mát Đáng mua,5,like,24
Áo đẹp lắm luôn ạ,5,like,17
tốt,5,like,3
Mạnh dạn chúc mừng chị Tiên,5,like,27
Đặt hơi kích ngắn ưng chuẩn dặn sờ mát giao,5,like,43
đẹp rẻ mặc chật liên_hệ giải_quyết giúp,5,like,39
Hàng đẹp rẻ may Nhận hài_lòng giao Sẽ,5,like,37
giao tốt ổn,5,like,11
bú bú giúp mau bổ_sung bù,5,like,25
Áo đẹp nha mọi người. Nên mua,5,like,29
mua ok chê đóng_gói tốt,5,like,23
Giao sản_phẩm giá_cả,5,like,20
giao mềm thấm hút rẻ Đáng mua,5,like,29
Giao size mua to,5,like,16
mua thử đắt đẹp hẳn,5,like,19
rẻ ổn Mặc mua,5,like,13
mặc thích rẻ mua,5,like,16
Hình ảnh video chỉ mang tính chất nhận xu thui,5,like,46
mặc không_quá dày shop ủng_hộ tiếp,5,like,34
rẻ đẹp thích,5,like,12
Giao Đã mua to mặc hơi chật,5,like,27
ổn shop giao e mặc mặc chật,5,like,27
đẹp mát oke giao,5,like,16
Đúng mặc mỏng,5,like,13
đẹp rẻ mua hẳn mua rẻ,5,like,21
 bạn nhé! Chỉ cần nạp thẻ,5,like,25
chất_lượng giao,5,like,15
ok mềm nóng Giặt xù mua mua rẻ,5,like,30
mua,5,like,3
ổn Giá_cả Giao đẹp,5,like,18
ổn_áp mặc mát ko,4,like,16
Hàng hôm_qua,4,like,12
hơi mặc,4,like,7
"Áo mặc ok chất liệu mỏng mặc mùa hè k bị nóng, vải cotton thấm mồ hôi. Rẻ hơn mua chợ nhưng mỗi tội shop k cho mã freeship",4,like,122
Giao đẹp giao sai shop giao,4,like,27
"Áo chất mỏng, xấu hơn đợt trước mình mua . Ncl không dc đanh chất lắm",4,like,69
giao mềm mỏng phom hơi rộng,4,like,27
Giao chậm trừ chất_lượng,4,like,24
Giao kĩ xl giao,4,like,15
xài đồng_tiền Giao Sẽ ủng_hộ,4,like,28
mỏng giao,4,like,9
Ok 👌,4,like,4
"Ảnh minh hoạ, nói chung sp phù hợp giá tiền",4,like,43
Chất vải thì đẹp nhưng mà size nhỏ quá. ,4,like,40
rẻ chất_lượng trừ ntin_shop ko,4,like,30
dày cắt may ôm cổ nách bai,4,like,26
Tạm,4,like,3
mặc thoải_mái,4,like,13
ok lắm,4,like,6
hơi ổn,4,like,6
Ok trong tầm giá,4,like,16
đẹp,4,like,3
Hơi mỏng,4,like,8
Khá ổn,4,like,6
"Hàng đảm bảo, Shipper nhanh!",4,like,28
sản_phẩm tốt,4,like,12
sản_phẩm phục_vụ tốt Đáng đồng_tiền giao,4,like,40
sản_phẩm tốt giao,4,like,17
sản_phẩm tốt sản_phẩm,4,like,21
sản_phẩm phục_vụ tốt,4,like,20
Đã giao chật rộng,3,not_like,17
"Chất vải mỏng, nóng. Giá như vậy k đòi hỏi nhiều",3,not_like,48
giao sz rộng mặc tưởng giấu ko mua,3,not_like,34
Giao nhầm giao áo_cộc lười đổi thôi_shop xem_xét,3,not_like,48
"Áo mỏng, chất mỏng. Sản phẩm phù hợp với giá tiền ",3,not_like,50
dịch giao sản_phẩm ổn ổn hợp,3,not_like,28
mỏng Mua mặc vô mặc,3,not_like,19
Được,3,not_like,4
Đặt giao mặc,3,not_like,12
xấu lắm mua đẹp,3,not_like,15
đẹp giặt 01 hơi buồn giao kiểm kỹ,3,not_like,33
đẹp ổn hợp ủng_hộ shop tiếp 3 _ *,3,not_like,33
bẩn tạm,3,not_like,7
tien nao vải nấy thôi ạ.,3,not_like,24
may k xấu,3,not_like,9
Giao ổn,3,not_like,7
rẻ giặt dính,3,not_like,12
sản_phẩm tạm,3,not_like,12
sản_phẩm tạm,3,not_like,12
Đặt giao mua ghét chán,2,not_like,22
sản_phẩm kém,1,not_like,12
giao nhầm,1,not_like,9
m75 to bé giao,1,not_like,14
Chẳng tưởng không_co rộng không_thích :)),1,not_like,41
mỏng mỏng,1,not_like,9
Hàng Nhái ,1,not_like,10
Ngon size hơi rộng,1,not_like,18
sản_phẩm kém,1,not_like,12
minh_họa giao shop,5,like,18
hàng dịch_bệnh giao hơi đẹp rẻ okee r,5,like,37
xịn lắm hơi nóng tí thích lắm,5,like,29
Ao doep nánnsnnsnsnsnsnsnskksksksksksksksmmdmdmdmd,5,like,50
đẹp mát mặc thoải_mái chê,5,like,25
Đẹp đáng_giá rẻ giao ok lắm,5,like,27
"Vải mềm, mịn, đẹp, chất lượng, nên chọn tăng 1 size nếu muốn thoải mái chứ phần cổ hơi bị bó, giá tiền phù hợp vs áo.",5,like,117
đẹp mát mặc sút,5,like,15
Hàng ok lắm ạ. ,5,like,15
Hàng đẹp mua mua,5,like,16
Chất vải áo màu đỏ 79k mát ổn hơn chiếc màu xám dễ xù lông,5,like,58
giao,5,like,4
Hàng đẹp rẻ chất_lượng lắm ưng Sẽ ủng_hộ shop dài_dài,5,like,53
